Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
75,0.20%,"$17,940.00","$17,848.00","$17,756.00","$17,664.00","$17,572.00","$17,480.00","$17,388.00","$17,296.00","$17,204.00","$17,112.00"
76,0.19%,"$17,756.00","$17,664.00","$17,572.00","$17,480.00","$17,388.00","$17,296.00","$17,204.00","$17,112.00","$17,020.00","$16,928.00"
77,0.19%,"$17,572.00","$17,480.00","$17,388.00","$17,296.00","$17,204.00","$17,112.00","$17,020.00","$16,928.00","$16,836.00","$16,744.00"
78,0.19%,"$17,388.00","$17,296.00","$17,204.00","$17,112.00","$17,020.00","$16,928.00","$16,836.00","$16,744.00","$16,652.00","$16,560.00"
79,0.19%,"$17,204.00","$17,112.00","$17,020.00","$16,928.00","$16,836.00","$16,744.00","$16,652.00","$16,560.00","$16,468.00","$16,376.00"
80,0.19%,"$17,020.00","$16,928.00","$16,836.00","$16,744.00","$16,652.00","$16,560.00","$16,468.00","$16,376.00","$16,284.00","$16,192.00"
81,0.18%,"$16,836.00","$16,744.00","$16,652.00","$16,560.00","$16,468.00","$16,376.00","$16,284.00","$16,192.00","$16,100.00","$16,008.00"
82,0.18%,"$16,652.00","$16,560.00","$16,468.00","$16,376.00","$16,284.00","$16,192.00","$16,100.00","$16,008.00","$15,916.00",
83,0.18%,"$16,468.00","$16,376.00","$16,284.00","$16,192.00","$16,100.00","$16,008.00","$15,916.00","$15,824.00",,
84,0.18%,"$16,284.00","$16,192.00","$16,100.00","$16,008.00","$15,916.00","$15,824.00","$15,732.00",,,
85,0.18%,"$16,100.00","$16,008.00","$15,916.00","$15,824.00","$15,732.00","$15,640.00",,,,
86,0.17%,"$15,916.00","$15,824.00","$15,732.00","$15,640.00","$15,548.00",,,,,
87,0.17%,"$15,732.00","$15,640.00","$15,548.00","$15,456.00",,,,,,
88,0.17%,"$15,548.00","$15,456.00","$15,364.00",,,,,,,
89,0.17%,"$15,364.00","$15,272.00",,,,,,,,
90,0.17%,"$15,180.00",,,,,,,,,
